Site Category Name,Sub Category Name,Category ID,Category Name,Questions,Audit Question Default value,Findings (Assertive Statement),Risk,Actions/Recommendation,Action Category,UA-UC,Risk Severity,Risk Probability,Color Code,Cost Type,Combined Risk Rating,Note
Client Leased,External Warehouse,A.33,Review of Legal Compliance,Is Heavy Duty rack stability certificate available ? Check for the validity,,Heavy Duty rack stability certificate is not available,Life Risk of the employees working in the warehouse,Heavy duty rack stability certificate should be obtained from the competent authority,Certificates,Others,Very High,High,Black,Opex,120,
Client Leased,External Warehouse,A.34,Review of Legal Compliance,Is stability certificate of the MTS available ? If applicable,,Stability certificate of the MTS is not available,Life Risk of the employees working in the warehouse,Stability certificate of MTS should be obtained from 3rd party competent authority,Certificates,Others,Very High,Medium,Black,Opex,90,
Client Leased,External Warehouse,A.35,Review of Legal Compliance,Is stability certificate available for DG stack fabricated structure?,,Stability certificate of the DG Stack Structure is not available,Life Risk of the employees working in the warehouse,Stability certificate of Stack DG  should be obtained from 3rd party competent authority,Certificates,Others,Very High,Medium,Red,Opex,60,
Client Leased,External Warehouse,A.36,Review of Legal Compliance,Biomedical waste disposal authorisation and records  available?,NA,Biomedical waste disposal records are not available,Legal issue may occur,Biomedical waste should be disposed off as per the Bio-medical waste management rule 2016 and records of the same should be maintained,Records,Others,High,Medium,Red,Opex,48,
Client Leased,External Warehouse,A.37,Review of Legal Compliance,"Is Hazardous material stored? If Yes, whether applicable rule followed ? Is Hazardous waste authorization available ? Check for the validity. Is Hazardous waste disposable manifest maintained ?",NA,Hazardous waste authorization is not available and  its disposal manifest is not maintained,Legal issue may occur,Hazardous waste authorization should be obtained and Disposal manifest should be maintained,Legal,Others,High,High,Black,Opex,96,
Client Leased,External Warehouse,B,Review of Fire Safety System,Review of Fire Safety System,,,,,,,,,,,0,
Client Leased,External Warehouse,B.1,Review of Fire Safety System,Is Fire Hydrant System installed in the facility ?,,Fire Hydrant system is not installed in the warehouse,"1. Legal Issue may occur
2. In case of major fire, the warehouse staff/Fire department team may find difficulty in extinguishing the fire",Fire Hydrant system should be installed in the warehouse as per NBC norms,Fire Hydrant,UA-UC,High,High,Red,Capex,144,
Client Leased,External Warehouse,B.2,Review of Fire Safety System,Is pressure in the hydrant system maintained in between 6 Kg/cm² to 8 Kg/cm²?,,Pressure in the fire hydrant system not maintained b/w  6 Kg/cm² to 8 Kg/cm²,"If there is low pressure in the fire hydrant line, it may be difficult to target the fire at longer distance",Water pressure in the fire hydrant line should remain in between 6 Kg/cm² to 8 Kg/cm²,Fire Hydrant,UA-UC,High,Low,Yellow,Opex,16,Pressure may differ from site to site
Client Leased,External Warehouse,B.3,Review of Fire Safety System,"Whether all relevant pumps ( Main Pump, Jockey Pump, and Diesel Pump) installed  as per the fire noc conditions and are in working condition ?",,"All relevant pumps  (e.g. Electric pump, jockey pump and diesel pump) are not installed","1. We will not be able to maintain a pressure of 6 Kg/cm² to 8 Kg/cm² in the hydrant line
2. In case of emergency, sufficient amount of water will not be discharged from the hydrant line","All relevant pumps should be installed (e.g. Electric pump, jockey pump and diesel pump)",Fire Pumps,UA-UC,High,Low,Red,Capex,72,"Diesel Pump, Electric pump & Jockey Pump"
Client Leased,External Warehouse,B.4,Review of Fire Safety System,Is fire pump system is on auto mode ?,,Fire Pump system in not on auto mode,In case of an emergency the pump will not start automatically,Fire Hydrant system should remain on auto mode all the time,Fire Hydrant,UA-UC,High,Low,Red,Capex,72,
Client Leased,External Warehouse,B.5,Review of Fire Safety System,"Are all records of tests related to fire detection, alarm system, equipment, fire doors, fire drills, fire maintenance, trainings ... available ?",,"Records related to the testing of fire detection, alarm system, equipment, fire doors, fire drills, fire maintenance, trainings is not available",Legal Issue may occur,"All records related to the testing of fire detection, alarm system, equipment, fire doors, fire drills, fire maintenance, trainings should be made available",Test,UA-UC,Low,Low,Yellow,Opex,8,Form B may require Cost hence Opex point
Client Leased,External Warehouse,B.6,Review of Fire Safety System,"Is AMC available for overall FFS, FAS (Fire Hydrant System, Alarm system and other detection system) ?",,"AMC not available for overall Fire Hydrant System, Alarm system and other detection system","If some equipment is found non-operational at the time of emergency, the minor fire risk may get converted into a major fire risk","AMC should be made available for overall Fire Hydrant System, Alarm system and other detection system",Maintenance,UA-UC,Medium,Medium,Yellow,Opex,18,AMC-Annual Maintenance Service.
Client Leased,External Warehouse,B.7,Review of Fire Safety System,Are Fire Hose Cabinets installed and nozzle available with Hose reel?,,"Fire Hose Cabinets, Hose Reels and nozzle are not installed in the facility",Minor fire incident may get converted into major fire risk,"Fire Hose Cabinets, Hose Reels and nozzle  should be installed in the facility",Fire Equipments,UA-UC,Medium,Low,Yellow,Capex,18,
Client Leased,External Warehouse,B.8,Review of Fire Safety System,Is Sprinkler System installed in the facility?,,Sprinklers not installed in the facility,"In case of major fire in the warehouse, the sprinkler may help us in extinguishing the fire automatically without the involvement of personal",Sprinklers should be installed in the facility,Sprinklers,UA-UC,Medium,Medium,Yellow,Capex,27,
Client Leased,External Warehouse,B.9,Review of Fire Safety System,"Requirement of ESFR, In-rack sprinkler?",,Sprinklers not installed in the facility,"In case of major fire in the warehouse, the sprinkler may help us in extinguishing the fire automatically without the involvement of personal",Sprinklers should be installed in the facility,Sprinklers,UA-UC,Medium,Medium,Yellow,Capex,27,
Client Leased,External Warehouse,B.10,Review of Fire Safety System,"Is fire pump room well ventilated, illuminated  and emergency lights are available ?",NA,"Fire pump room is not well ventilated, illuminated and emergency lights are not available.",The smoke coming out of the engine pump may get accumulate in the pump room and health issues to the operating personal may occur. Not able to operate pump if illumination  or emergency lights are not available during night time.,"Fire pump room should be well ventilated, illuminated and emergency lights should be available.",Fire Pumps,UA-UC,Medium,Low,Yellow,Capex,18,
Client Leased,External Warehouse,B.11,Review of Fire Safety System,Is Sufficient Diesel available( At least 70 % of the tank)  in Diesel tank.,NA,Sufficient Diesel ( At least 70 % of the tank)  in Diesel tank is not available,In case power failure Diesel Pump can not run for long hours without diesel.,Sufficient Diesel ( At least 70 % of the tank)  in Diesel tank should be available,Fire Pumps,UA-UC,Medium,Medium,Yellow,Opex,18,
Client Leased,External Warehouse,B.12,Review of Fire Safety System,"Is there any leakage in the hydrant, Flanges, valve assembly and joints?",NA,"Leakages were  observed in the hydrant, Flanges, valve assembly, and joints .",Water discharge Pressure will drop if leakage is not arrested,"All hydrant,  flanges and valve should be leakage free.",Fire Hydrant,UA-UC,Medium,Medium,Yellow,Opex,18,
Client Leased,External Warehouse,B.13,Review of Fire Safety System,What is the capacity of fire water storage tank? Is it as per Fire NOC condition?,,capacity of fire water storage tank is not displayed  as per Fire NOC condition?,"Non-compliance with Fire NOC requirements
- Negative impact during audits and inspections","Display clear signage indicating tank capacity (in KL/Liters) near the tank
- Ensure visibility and durability of signage",Fire Pumps,UA-UC,Medium,Medium,Yellow,Opex,18,
Client Leased,External Warehouse,B.14,Review of Fire Safety System,Provision of secondary containment for diesel storage tank?,,Provision of secondary containment for diesel storage tank is not provided,"Risk of diesel spillage leading to fire hazard
- Environmental contamination (soil & groundwater pollution)",Provide proper secondary containment (dyke wall) with adequate capacity (minimum 110% of tank volume),Fire Pumps,UA-UC,Medium,Medium,Yellow,Opex,18,
Client Leased,External Warehouse,B.15,Review of Fire Safety System,Is Beam detector installed in the facility?,,Beam detectors not installed in the facility,It will be difficult to detect the smoke automatically inside the warehouse area,Beam detectors should be installed in the warehouse,Beam Detector,UA-UC,Medium,Medium,Red,Capex,81,
Client Leased,External Warehouse,B.16,Review of Fire Safety System,Is MCP is installed in the facility?,,MCP not installed in the facility,A person may not be able to give timely alarm to other team members at time of emergency,MCP should be installed in the facility,MCP,UA-UC,High,Medium,Red,Capex,108,MCP - Manual Call Point
Client Leased,External Warehouse,B.17,Review of Fire Safety System,Are smoke detectors are installed below Mezannine floor,,Smoke detectors not installed in the Below Mezzanine floor,"In case of fire in the vacant building, security may not be able to identify the fire",Smoke detector should be installed in the Mezzanine area and should remain in working condition,Smoke Detector,UA-UC,High,Medium,Red,Capex,108,
Client Leased,External Warehouse,B.18,Review of Fire Safety System,Is 2 hrs fire rated Push Bar emergency exit doors are available with necessary certificates?,,2 hrs fire rated Push Bar emergency exit doors are available with necessary certificates is not available,"- Inability to verify fire resistance rating during emergency
- Risk of door failure under fire conditions, leading to rapid fire/smoke spread",Obtain and maintain valid certification for 2-hour fire-rated doors from the manufacturer or approved authority,Emergency Fire Door,UA-UC,High,Medium,Yellow,Capex,36,
Client Leased,External Warehouse,B.19,Review of Fire Safety System,Is smoke detectors installed in the scrap area ? If applicable,,Smoke detectors are not  installed in the scrap area,"If there is a fire in the scrap area, the warehouse staff will not know that the scrap room has caught fire",Smoke detectors should be installed in the scrap area also,Smoke Detector,UA-UC,High,High,Red,Capex,144,
Client Leased,External Warehouse,B.20,Review of Fire Safety System,Are smoke detectors /Sprinkler installed in the MTS and are in working condition?,,Smoke detectors are not  installed in the MTS area,"In case of fire in the MTS , ERT member may not be able to identify the fire",Smoke detectors should be installed in the MTS Rack.,Smoke Detector,UA-UC,High,Medium,Red,Capex,108,
Client Leased,External Warehouse,B.21,Review of Emergency Preparedness and Mock drill,Is Fire rated Push Bar emergency exit doors are available?,,Fire rated Push Bar emergency exit doors are not available.,"In case of any emergency, person may not be able to  exit easily.",Fire rated Push Bar emergency exit doors should be available.,Exit Door,UA-UC,High,Medium,Red,Capex,108,
Client Leased,External Warehouse,B.22,Review of Fire Safety System,Is fire alarm audible in the entire facility and is periodically checked ? Check for the records,,Fire alarm is not audible in the entire warehouse,All employees will not get aware of any emergency in the warehouse if the alarm is not audible,Emergency alarm should be audible at all places in the warehouse,Alarm System,UA-UC,High,Medium,Red,Capex,108,
Client Leased,External Warehouse,B.23,Review of Fire Safety System,Is adequate number of portable Fire Extinguishers installed in the facility as per the assessment/state norms ? (1 Fire Extinguisher/2000 Sq. ft) and open space i.e. 1/3000 Sq. ft.?,,Adequate no. of fire extinguisher is not installed in the facility i.e. 1/2000 Sq. ft. and  In open area i.e. 1/3000 Sq. ft.,Fire issue may occur,Fire extinguishers Inside the warehouse should be provided 1/2000 sq. ft. and outside the warehouse should be provided 1/3000 Sq. Ft.,Fire Extinguishers,UA-UC,Medium,Medium,red,Capex,81,
Client Leased,External Warehouse,B.24,Review of Fire Safety System,Is Fire extinguishers refilled and maintenance done as per the IS2190?,,Fire extinguishers not refilled and maintenance not done as per the IS2190.,"If some Fire extinguishers are found non-operational at the time of emergency, the minor fire risk may get converted into a major fire risk",Fire extinguishers refilled and maintenance should be done as per the IS2190.,Fire Extinguishers,UA-UC,High,Medium,Red,Opex,72,
Client Leased,External Warehouse,B.25,Review of Fire Safety System,Are all emergency equipment kept clear and are not obstructed ?,,Emergency equipment are not kept clear and are obstructed by the material,At the time of emergency the person may find difficulty in reaching the equipment for further use,All the emergency equipment should be kept clear and unobstructed,Storage Method,UA-UC,High,Low,Red,Operatiol Action,24,
Client Leased,External Warehouse,B.26,Review of Fire Safety System,"Is Foam Pourer System or 50 litres mechanical foam fire extinguishers provided, in case of  Oil Storage ?",,Foam Pourer System or 50 litres mechanical foam fire extinguishers not provided (in case of Oil Storage),"Firefighting foam is a foam used for fire suppression. Its role is to cool the fire and to coat the fuel, preventing its contact with oxygen, resulting in suppression of the combustion. Much like the water type, Foam fire extinguishers can be used for fires involving organic materials. These organic materials include cardboard, paper, fabrics, wood & coal. In addition to these organic materials, foam extinguishers can also be used on flammable liquids including petrol or paint.",Foam Pourer System or 50 litres mechanical foam fire extinguishers should be provided if required (in case of oil storage),Fire Extinguishers,UA-UC,High,Low,Red,Capex,72,
Client Leased,External Warehouse,B.27,Review of Fire Safety System,All key server rooms should be protected by fire fighting system e.g. Modular FE etc.?,NA,Key server rooms not protected by   fire fighting system e.g. Modular FE etc.,"FM-200 is a clean, colourless, and environmentally friendly fire suppressant that is electronically non-conductive and safe for humans. The fire suppression system extinguishes flames primarily through heat absorption and is safe for use in occupied areas.",Key server rooms should be protected  by fire fighting system e.g. Modular FE etc.,FM 200 System,UA-UC,High,Low,Red,Capex,72,
Client Leased,External Warehouse,B.28,Review of Fire Safety System,Is Fire fighting team members name displayed in the facility ?,,Fire fighting team members name not displayed,"In case of fire, the staff working in the warehouse may get difficulty in identifying the trained fire fighters",Fire fighting team should be displayed in the warehouse,Display Board,UA-UC,Medium,High,Yellow,Opex,24,
Client Leased,External Warehouse,B.29,Review of Fire Safety System,"Are Fire Safety related signage( Fire Extinguishers, Hydrant etc)  is displayed at prominent locations and are visible from anywhere in the warehouse ?",,"Fire Safety related signage( Fire Extinguishers, Hydrant etc) is not displayed in the warehouse at prominent location",There are chances that the collaborators will not be able to understand fire fighting equipment location,"Fire Safety related signage( Fire Extinguishers, Hydrant etc) should be displayed at prominent location and should be visible from anywhere in the warehouse",Display Board,UA-UC,Medium,Medium,Yellow,Opex,18,
Client Leased,External Warehouse,C,Review of Personal Protective Equipment,Review of Personal Protective Equipment,,,,,,,,,,,0,
Client Leased,External Warehouse,C.1,Review of Personal Protective Equipment,"All personal in the facility comply with the site's personal protective equipment requirement i.e. safety shoes, high visibility jacket, helmets where applicable?",,All personal in the facility do not comply with the site PPEs requirement,Personal injury,All personals working in the warehouse should comply with the PPEs requirement,Training,UA-UC,High,High,Red,Operatiol Action,48,
Client Leased,External Warehouse,C.2,Review of Personal Protective Equipment,All personnel are using Safety Harnesses for Working at height.? ( Applicable For VNA/Order Picker Operation.),,Safety Harnesses are not used for working at height.(  Applicable For VNA/Order Picker Operation ),Personal injury,Safety harness should be used for working at height.,PPE,UA-UC,High,High,Red,Operatiol Action,48,
Client Leased,External Warehouse,C.3,Review of Personal Protective Equipment,All personnel are using Cut resistance Gloves for heavy or sharp edges material handling?,,Cut-resistance gloves are not used for heavy or sharp edges material handling,Personal injury,Cut resistance gloves should be used for heavy or sharp edges material handling,PPE,UA-UC,Medium,Medium,Yellow,Operatiol Action,9,
Client Leased,External Warehouse,C.4,Review of Personal Protective Equipment,Are PPE's like ear plugs used in the High noise area ?,,PPE's like ear plugs are not used in high noise area,Hearing loss may occur to a person working in high noise area,PPE's like ear plugs should be used in the high noise area,PPE,UA-UC,Medium,Medium,Yellow,Operatiol Action,9,
Client Leased,External Warehouse,C.5,Review of Personal Protective Equipment,"All personnel are using specific PPEs as per the specific Job activity  like Chemical handling, Electrical work?",,"All personal in the facility do not comply with specific PPEs as per the specific Job activity  like Chemical handling, Electrical work",Personal injury,All personals working in the warehouse should comply with the PPEs requirement,PPE,UA-UC,Medium,Medium,Yellow,Operatiol Action,9,
Client Leased,External Warehouse,C.6,Review of Personal Protective Equipment,Are PPE's available in the facility as per the hazard associated with the work activity ?,,PPEs in the facility is not available as per the identified hazards,Personal injury,PPEs in the facility should be available as per the associated hazard,PPE,UA-UC,High,High,Red,Opex,96,
Client Leased,External Warehouse,C.7,Review of Personal Protective Equipment,Are Signage related to PPE's usage and its importance displayed in the facility ?,,Signage related to PPEs not displayed in the facility,It will be difficult to create awareness among 100% of the staff working in the warehouse,Signage related to the use off PPEs should be displayed in the warehouse,Display Board,UA-UC,Medium,High,Yellow,Opex,24,
Client Leased,External Warehouse,C.8,Review of Personal Protective Equipment,"Are PPE's stored in a proper manner as like PPE's stand, PPE's rack, almirah, etc.?",,PPE's not stored properly,Good asset loss,All PPE's should be stored properly,Storage Method,UA-UC,Low,High,Yellow,Operatiol Action,8,
Client Leased,External Warehouse,C.9,Review of Personal Protective Equipment,Is workers training conducted on the use of PPEs ?,,Worker training not conducted on the use of PPE's,Personal injury,Training on PPEs should be conducted in-order to create more awareness regarding the use of PPEs,Training,UA-UC,Medium,Medium,Red,Operatiol Action,27,
Client Leased,External Warehouse,C.10,Review of Personal Protective Equipment,Is PPE's matrix displayed at prominent locations ?,,PPE's matrix not displayed in the warehouse,Employees may not get aware of the PPE to be used in different work zones,PPEs matrix should be displayed at prominent location,Display Board,UA-UC,Low,High,Yellow,Opex,16,
Client Leased,External Warehouse,D,Review of First Aid Facility,Review of First Aid Facility,,,,,,,,,,,0,
Client Leased,External Warehouse,D.1,Review of First Aid Facility,Do we have first aid boxes in the facility ? & quantity adequate?,,There is no first aid box in the facility,"If adequate number of first aid boxes are not available in the warehouse, it will take time for a person to reach at the first aid box available at a particular location e.g. Security guard cabin, etc.",Provide first aid box in the facility,First Aid Box,UA-UC,Medium,Medium,Yellow,Opex,18,
Client Leased,External Warehouse,D.2,Review of First Aid Facility,Are the required first aid material is checked for the availability and expiry date ?,,First aid material stored in the box is not checked for the availability,First aider will not be able to provide the first aid to the injured,First aid material should be checked for the availability in the first aid box,Checklist,UA-UC,High,Medium,Red,Operatiol Action,36,
Client Leased,External Warehouse,D.3,Review of First Aid Facility,Is first aid register maintained for the first aid given cases ?,,First aid register is not maintained for the first aid cases,Investigation and corrective action plan may not be identified for the un-reported first aid case,First aid register should be maintained and all the first aid cases should be recorded in the register,First Aid Register,UA-UC,Medium,Low,Yellow,Operatiol Action,6,Incident report
Client Leased,External Warehouse,D.4,Review of First Aid Facility,Do the list of certified first aider displayed at prominent location in the facility ?,,List of certified first aider is not displayed at prominent location in the warehouse,Employees in the warehouse may find difficulty in identifying the trained first aider available in the warehouse,Name of certified first aider should be displayed in the warehouse at prominent locations,Display Board,UA-UC,Medium,Medium,Yellow,Opex,18,
